1 ; KA_Pos ; 142567 ;  ; 1 ;  ;  ; 1 ;  ; FKGr0 ; 0 ;  ;  ; 2 ;  ;  ;  ; 1 ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 50 ; 1 ; 3 ; 500 ;  ; 864H28284PAG029 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 51 ; 1 ; 3 ; 510 ;  ; 901KB0006SAA016 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 52 ; 1 ; 3 ; 520 ;  ; 901HB0006SAA010 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 53 ; 1 ; 3 ; 530 ;  ; 901KB0010SAA025 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 54 ; 1 ; 3 ; 540 ;  ; 902CA0012SAA040 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 55 ; 1 ; 3 ; 550 ;  ; 902FA0016SAA075 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 56 ; 1 ; 3 ; 560 ;  ; 902FA0012SAA035 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 57 ; 1 ; 3 ; 570 ;  ; 902HA0010SAA055 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 58 ; 1 ; 3 ; 580 ;  ; 903FM0014PAM000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 59 ; 1 ; 3 ; 590 ;  ; 904CG0010SSF016 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 60 ; 1 ; 3 ; 600 ;  ; 914KC0012SAA020 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 61 ; 1 ; 3 ; 610 ;  ; 916K21061PVC019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 62 ; 1 ; 3 ; 620 ;  ; 920CA0012SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 63 ; 1 ; 3 ; 630 ;  ; 920AA0016SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 64 ; 1 ; 3 ; 640 ;  ; 920CA0012SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 65 ; 1 ; 3 ; 650 ;  ; 920DA0010SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
..3 ; FA_Pos ; 616033 ;  ; 66 ; 0 ; 1 ; 660 ;  ; G-900-006-A2 ; 0 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 67 ; 66 ; 3 ; 670 ;  ; 554GA0130SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 68 ; 66 ; 3 ; 680 ;  ; 890K30011GGB019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 69 ; 66 ; 3 ; 690 ;  ; 901IB0012SAA025 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
..3 ; FA_Pos ; 616033 ;  ; 70 ; 0 ; 1 ; 700 ;  ; V-N-03-02-01 ; 0 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
