142573;2;2070130;2;22.0115 (12315);2                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
142573;3;2070130;2;22.0115 (12315);3                                       ;NEGrII                                  ;0;NEPO 50-32-250;1;0
142573;4;2070130;2;22.0115 (12315);4                                       ;NEGrIII                                 ;0;NEPO 125-100-250;1;0
142573;5;2070130;2;22.0115 (12315);5                                       ;NEGrIII                                 ;0;NEPO 125-100-250;1;0
142573;6;2070130;2;22.0115 (12315);6                                       ;NEGrIII                                 ;0;NEPO 150-125-315;1;0
142573;1;2070130;2;22.0115 (12315);1                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
142573;2;2070130;2;22.0115 (12315);2                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
142573;3;2070130;2;22.0115 (12315);3                                       ;NEGrII                                  ;0;NEPO 50-32-250;1;0
142573;4;2070130;2;22.0115 (12315);4                                       ;NEGrIII                                 ;0;NEPO 125-100-250;1;0
142573;5;2070130;2;22.0115 (12315);5                                       ;NEGrIII                                 ;0;NEPO 125-100-250;1;0
142573;6;2070130;2;22.0115 (12315);6                                       ;NEGrIII                                 ;0;NEPO 150-125-315;1;0
142572;1;2030010;2;22.0114 (12434);1                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
142572;2;2030010;2;22.0114 (12434);2                                       ;PPA0INE01PAA000                         ;0;22.0114;1;0
142572;1;2030010;2;22.0114 (12434);1                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
142572;2;2030010;2;22.0114 (12434);2                                       ;PPA0INE01PAA000                         ;0;22.0114;1;0
142571;1;2100010;2;22.0113 (12502);1                                       ;NEGrII                                  ;0;NEPO 125-80-250;1;0
142571;1;2100010;2;22.0113 (12502);1                                       ;NEGrII                                  ;0;NEPO 125-80-250;1;0
142570;1;1440100;2;22.0112 (12501);1                                       ;NEGrII                                  ;0;NEPO 125-80-250;1;0
142570;1;1440100;2;22.0112 (12501);1                                       ;NEGrII                                  ;0;NEPO 125-80-250;1;0
142569;1;1080100;2;22.0111 (12383);1                                       ;VFGr0                                   ;0;VKPF 25-160;3;0
142569;2;1080100;1;22.0111 (12383);2                                       ;800EK2201110030                         ;1;;3;0
142569;1;1080100;2;22.0111 (12383);1                                       ;VFGr0                                   ;0;VKPF 25-160;3;0
142569;2;1080100;1;22.0111 (12383);2                                       ;800EK2201110030                         ;1;;3;0
142568;1;2100010;2;22.0110 (12441);1                                       ;NEGrII                                  ;0;NEPO 65-40-250 D;1;0
142568;1;2100010;2;22.0110 (12441);1                                       ;NEGrII                                  ;0;NEPO 65-40-250 D;1;0
142567;1;1440030;2;22.0109 (11990);1                                       ;FKGr0                                   ;0;FKPO 40-25-160;1;0
142567;2;1440030;2;22.0109 (11990);2                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
142567;3;1440030;1;22.0109 (11990);3                                       ;800EK2201090010                         ;1;;1;0
142567;4;1440030;1;22.0109 (11990);4                                       ;800EK2201090020                         ;1;;1;0
142567;1;1440030;2;22.0109 (11990);1                                       ;FKGr0                                   ;0;FKPO 40-25-160;1;0
142567;2;1440030;2;22.0109 (11990);2                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
142567;3;1440030;1;22.0109 (11990);3                                       ;800EK2201090010                         ;1;;1;0
142567;4;1440030;1;22.0109 (11990);4                                       ;800EK2201090020                         ;1;;1;0
142565;1;1170140;2;22.0107 (12461);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142565;2;1170140;1;22.0107 (12461);2                                       ;800EK2201070010                         ;1;;1;0
142565;1;1170140;2;22.0107 (12461);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142565;2;1170140;1;22.0107 (12461);2                                       ;800EK2201070010                         ;1;;1;0
142566;1;202037001;2;22.0108 (12484);1                                       ;NEGrI                                   ;0;NEPO 80-50-200;1;0
142566;2;202037001;1;22.0108 (12484);2                                       ;800EK2201080010                         ;1;;1;0
142566;1;202037001;2;22.0108 (12484);1                                       ;NEGrI                                   ;0;NEPO 80-50-200;1;0
142566;2;202037001;1;22.0108 (12484);2                                       ;800EK2201080010                         ;1;;1;0
142063;1;1370080;2;22.0028 (12365);1                                       ;FEGrII                                  ;0;FEPO 50-32-250;1;0
142063;2;1370080;2;22.0028 (12365);2                                       ;FEGrII                                  ;0;FEPO 50-32-250;1;0
142063;3;1370080;1;22.0028 (12365);3                                       ;800EK2200280010                         ;1;;1;0
142063;1;1370080;2;22.0028 (12365);1                                       ;FEGrII                                  ;0;FEPO 50-32-250;1;0
142063;2;1370080;2;22.0028 (12365);2                                       ;FEGrII                                  ;0;FEPO 50-32-250;1;0
142063;3;1370080;1;22.0028 (12365);3                                       ;800EK2200280010                         ;1;;1;0
142140;1;1020450;2;22.0105 (12409);1                                       ;NEGrIV                                  ;0;NEPS 200-150-400;1;0
142140;1;1020450;2;22.0105 (12409);1                                       ;NEGrIV                                  ;0;NEPS 200-150-400;1;0
142139;1;1260060;2;22.0104 (12427);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142139;2;1260060;2;22.0104 (12427);2                                       ;PPA0INE01PAA000                         ;0;22.0104;1;0
142139;1;1260060;2;22.0104 (12427);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142139;2;1260060;2;22.0104 (12427);2                                       ;PPA0INE01PAA000                         ;0;22.0104;1;0
142138;1;1250460;2;22.0103 (10963);1                                       ;NEGrII                                  ;0;NEPO 125-80-200;1;0
142138;1;1250460;2;22.0103 (10963);1                                       ;NEGrII                                  ;0;NEPO 125-80-200;1;0
142137;1;2080180;2;22.0102 (12429);1                                       ;VFGrI                                   ;0;VKPF 32-200 S;1;0
142137;2;2080180;2;22.0102 (12429);2                                       ;PHA3BVF01UAA000                         ;0;22.0102;1;0
142137;3;2080180;1;22.0102 (12429);3                                       ;800EK2201020010                         ;1;;1;0
142137;1;2080180;2;22.0102 (12429);1                                       ;VFGrI                                   ;0;VKPF 32-200 S;1;0
142137;2;2080180;2;22.0102 (12429);2                                       ;PHA3BVF01UAA000                         ;0;22.0102;1;0
